Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,a
FEBRUARY-2025,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,0,0,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,RAN,NHS ENGLAND LONDON,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,,,,,,
FEBRUARY-2025,RW1,NHS ENGLAND SOUTH EAST ,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,0,0,2518,0,0,0,0,0,37,0,0,0,0,0,0,0,0,119,,,,,,
FEBRUARY-2025,RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE ,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,14096,0,0,0,0,0,4471,0,0,0,0,0,1144,48,2486,0,0,189,,,,,,
FEBRUARY-2025,AJN,NHS ENGLAND NORTH EAST AND YORKSHIRE ,WORKINGTON HEALTH LIMITED,0,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,AQN04,NHS ENGLAND SOUTH EAST ,PHL LYMINGTON UTC,0,0,2545,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,C82009,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH MED.CTR,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,NL7,NHS ENGLAND MIDLANDS ,ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),0,0,3811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,NTV0B,NHS ENGLAND SOUTH EAST ,ASHFORD WALK-IN-CENTRE,0,0,2144,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,NTV0W,NHS ENGLAND SOUTH EAST ,WOKING WALK IN CENTRE,0,0,2412,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,R1D,NHS ENGLAND MIDLANDS ,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,0,0,2653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,RGP,NHS ENGLAND EAST OF ENGLAND ,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6286,0,1389,0,0,0,2714,0,0,0,0,0,516,450,1459,0,0,466,,,,,,
FEBRUARY-2025,RJ8,NHS ENGLAND SOUTH WEST ,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,61,,,,,,
FEBRUARY-2025,RV9,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HUMBER TEACHING NHS FOUNDATION TRUST,0,0,965,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,RXG,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,,,,,,
FEBRUARY-2025,RY8,NHS ENGLAND MIDLANDS ,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,0,0,5791,0,0,2025,0,0,67,0,0,4,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,RYF,NHS ENGLAND SOUTH WEST ,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,0,0,1636,0,0,12,0,0,18,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,RYY,NHS ENGLAND SOUTH EAST ,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,2368,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,Y02147,NHS ENGLAND LONDON,URGENT CARE CENTRE (QMS),0,0,7461,0,0,520,0,0,113,0,0,5,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,Y02428,NHS ENGLAND EAST OF ENGLAND ,PUTNOE WALK IN CENTRE,0,0,3152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,Y02615,NHS ENGLAND MIDLANDS ,SOUTH BIRMINGHAM GP WALK IN CENTRE,0,0,6625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,Y02676,NHS ENGLAND SOUTH EAST ,BRIGHTON STATION HEALTH CENTRE,0,0,1819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,Y03218,NHS ENGLAND LONDON,THE PINN UNREGISTERED WIC,0,0,695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,Y07709,NHS ENGLAND SOUTH EAST ,READING URGENT CARE CENTRE,0,0,1843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,ACH01,NHS ENGLAND SOUTH EAST ,WHITSTABLE MEDICAL PRACTICE,0,0,4995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,G0Q0L,NHS ENGLAND LONDON,BARKING HOSPITAL UTC,0,0,2673,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,K6K0R,NHS ENGLAND LONDON,HAROLD WOOD POLYCLINIC UTC,0,0,2654,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,L83087,NHS ENGLAND SOUTH WEST ,OKEHAMPTON MEDICAL CENTRE,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,NDJ,NHS ENGLAND SOUTH EAST ,FIRST COMMUNITY HEALTH AND CARE CIC,0,0,1941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,NQT51,NHS ENGLAND SOUTH EAST ,STATION PLAZA HEALTH CENTRE,0,0,1079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,NQTE4,NHS ENGLAND MIDLANDS ,SUMMERFIELD URGENT CARE CENTRE,0,0,2969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,RA9,NHS ENGLAND SOUTH WEST ,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,5532,0,2684,393,0,135,2562,0,22,139,0,0,315,50,1931,0,0,1093,,,,,,
FEBRUARY-2025,RFF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,7870,0,0,25,0,0,3573,0,0,0,0,0,572,5,2644,0,0,466,,,,,,
FEBRUARY-2025,RK9,NHS ENGLAND SOUTH WEST ,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,8072,131,4653,0,0,0,4218,0,101,0,0,0,483,541,2599,0,0,1331,,,,,,
FEBRUARY-2025,RNQ,NHS ENGLAND MIDLANDS ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,8945,0,7965,308,0,0,3468,0,128,0,0,0,1280,0,1724,0,0,239,,,,,,
FEBRUARY-2025,RTP,NHS ENGLAND SOUTH EAST ,SURREY AND SUSSEX HEALTHCARE NHS TRUST,9094,0,0,0,0,0,3108,0,0,0,0,0,359,661,2785,0,0,874,,,,,,
FEBRUARY-2025,RXQ,NHS ENGLAND SOUTH EAST ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,9887,1090,3215,0,0,0,3010,0,86,0,0,0,231,348,3892,768,0,2063,,,,,,
FEBRUARY-2025,8J094,NHS ENGLAND MIDLANDS ,BADGER LTD,0,0,0,0,0,1300,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,AD913,NHS ENGLAND LONDON,BECKENHAM BEACON UCC,0,0,3301,0,0,273,0,0,48,0,0,48,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,DT301,NHS ENGLAND EAST OF ENGLAND ,HERTS URGENT CARE (ASCOTS LANE),0,0,1895,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,NTP11,NHS ENGLAND SOUTH EAST ,PRACTICE PLUS GROUP HOSPITAL - SOUTHAMPTON,0,0,4752,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,R0B,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,9989,1135,4935,727,0,1424,5171,22,204,384,0,50,740,3,3877,19,0,1332,,,,,,
FEBRUARY-2025,RAX,NHS ENGLAND LONDON,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,6478,0,7589,0,0,0,3131,0,182,0,0,0,239,446,2145,0,198,291,,,,,,
FEBRUARY-2025,RCD,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,4435,0,792,290,0,16,1388,0,1,56,0,0,206,10,1026,0,0,285,,,,,,
FEBRUARY-2025,RJR,NHS ENGLAND NORTH WEST ,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,4540,0,1979,0,0,0,2307,0,178,0,0,0,195,660,1613,0,0,1171,,,,,,
FEBRUARY-2025,RY5,NHS ENGLAND MIDLANDS ,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,0,0,7310,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,Y02532,NHS ENGLAND NORTH WEST ,MIRIAM MINOR EMERGENCY,0,0,1561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,Y03007,NHS ENGLAND MIDLANDS ,ERDINGTON GP HEALTH & WELLBEING WIC,0,0,0,0,0,1637,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,RBQ,NHS ENGLAND NORTH WEST ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,,,,,,
FEBRUARY-2025,RQX,NHS ENGLAND LONDON,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,10056,0,0,0,0,0,2077,0,0,0,0,0,278,24,1660,0,0,306,,,,,,
FEBRUARY-2025,RWG,NHS ENGLAND EAST OF ENGLAND ,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,7727,0,6510,0,0,753,2887,0,137,0,0,0,816,17,3978,0,0,571,,,,,,
FEBRUARY-2025,RXW,NHS ENGLAND MIDLANDS ,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,9128,0,2405,0,0,0,5301,0,167,0,0,0,335,1130,2699,0,199,2030,,,,,,
FEBRUARY-2025,Y00751,NHS ENGLAND SOUTH EAST ,EAST BERKS PRIMARY CARE OOH(WAM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,AXG,NHS ENGLAND SOUTH WEST ,WILTSHIRE HEALTH & CARE,0,0,2090,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,C82038,NHS ENGLAND MIDLANDS ,LATHAM HOUSE MEDICAL PRACTICE,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,RDY,NHS ENGLAND SOUTH WEST ,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,,,,,,
FEBRUARY-2025,REF,NHS ENGLAND SOUTH WEST ,ROYAL CORNWALL HOSPITALS NHS TRUST,5765,0,10121,0,0,0,3114,0,487,0,0,0,666,253,2361,0,35,1046,,,,,,
FEBRUARY-2025,REM,NHS ENGLAND NORTH WEST ,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,14072,1623,7572,370,0,0,6924,71,240,75,0,0,1869,1016,4155,0,0,2206,,,,,,
FEBRUARY-2025,RFR,NHS ENGLAND NORTH EAST AND YORKSHIRE ,THE ROTHERHAM NHS FOUNDATION TRUST,8181,0,0,0,0,0,2971,0,0,0,0,0,704,55,1742,0,0,200,,,,,,
FEBRUARY-2025,RLQ,NHS ENGLAND MIDLANDS ,WYE VALLEY NHS TRUST,5233,1036,86,135,0,0,2184,0,0,30,0,0,412,219,1304,0,0,117,,,,,,
FEBRUARY-2025,RWP,NHS ENGLAND MIDLANDS ,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,11492,0,4772,0,0,0,5476,0,27,0,0,0,891,669,2289,0,0,843,,,,,,
FEBRUARY-2025,RXK,NHS ENGLAND MIDLANDS ,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,10207,1051,7976,423,0,0,4654,149,13,191,0,0,699,354,2253,0,0,483,,,,,,
FEBRUARY-2025,RY4,NHS ENGLAND EAST OF ENGLAND ,HERTFORDSHIRE COMMUNITY NHS TRUST,0,0,1019,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,NLX,NHS ENGLAND SOUTH WEST ,SIRONA CARE & HEALTH,0,0,7473,0,0,356,0,0,340,0,0,45,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,NNJ,NHS ENGLAND MIDLANDS ,DHU HEALTH CARE C.I.C,0,0,1821,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,NR3,NHS ENGLAND MIDLANDS ,NOTTINGHAM CITYCARE PARTNERSHIP,0,0,5163,0,0,248,0,0,483,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,NTPAD,NHS ENGLAND SOUTH EAST ,PRACTICE PLUS GROUP SURGICAL CENTRE - ST MARYS PORTSMOUTH,0,0,5036,0,0,217,0,0,115,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,R0A,NHS ENGLAND NORTH WEST ,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,22416,2738,10287,3339,465,886,10230,98,498,1303,30,83,3764,211,5040,135,147,384,,,,,,
FEBRUARY-2025,RBV,NHS ENGLAND NORTH WEST ,THE CHRISTIE NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722,,,,,,
FEBRUARY-2025,RCX,NHS ENGLAND EAST OF ENGLAND ,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",6037,0,1069,0,0,0,2929,0,0,0,0,0,270,127,2108,0,0,367,,,,,,
FEBRUARY-2025,RDU,NHS ENGLAND SOUTH EAST ,FRIMLEY HEALTH NHS FOUNDATION TRUST,19788,936,11742,0,0,0,8753,1,297,0,0,0,1205,472,5632,0,0,100,,,,,,
FEBRUARY-2025,RGR,NHS ENGLAND EAST OF ENGLAND ,WEST SUFFOLK NHS FOUNDATION TRUST,6671,0,653,57,0,0,2428,0,0,0,0,0,360,489,1557,0,0,334,,,,,,
FEBRUARY-2025,RHU,NHS ENGLAND SOUTH EAST ,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,9534,850,2565,1545,0,803,4265,9,67,454,0,13,1127,346,2887,0,0,2536,,,,,,
FEBRUARY-2025,RJE,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,12461,478,7582,661,0,676,6989,0,337,344,0,29,636,1275,4837,0,0,2954,,,,,,
FEBRUARY-2025,RJN,NHS ENGLAND NORTH WEST ,EAST CHESHIRE NHS TRUST,3848,0,0,64,0,66,1970,0,0,0,0,0,172,266,749,0,0,181,,,,,,
FEBRUARY-2025,RKB,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,10786,1500,5717,0,0,0,5345,119,288,0,0,0,77,25,1592,42,46,587,,,,,,
FEBRUARY-2025,RMC,NHS ENGLAND NORTH WEST ,BOLTON NHS FOUNDATION TRUST,7278,0,3250,96,0,36,3644,0,175,46,0,3,486,454,2256,0,124,956,,,,,,
FEBRUARY-2025,RNU,NHS ENGLAND SOUTH EAST ,OXFORD HEALTH NHS FOUNDATION TRUST,0,0,3103,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,RPC,NHS ENGLAND SOUTH EAST ,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,0,0,1197,0,0,0,0,0,6,0,0,0,0,0,0,0,3,471,,,,,,
FEBRUARY-2025,RQW,NHS ENGLAND EAST OF ENGLAND ,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,7328,0,1913,0,0,670,3762,0,0,0,0,0,426,91,1587,0,0,241,,,,,,
FEBRUARY-2025,RR7,NHS ENGLAND NORTH EAST AND YORKSHIRE ,GATESHEAD HEALTH NHS FOUNDATION TRUST,5241,0,3141,23,0,2,2185,0,28,10,0,0,822,0,1453,0,0,41,,,,,,
FEBRUARY-2025,RW4,NHS ENGLAND NORTH WEST ,MERSEY CARE NHS FOUNDATION TRUST,0,0,13023,0,0,0,0,0,273,0,0,0,0,0,0,0,0,42,,,,,,
